,baseline,SMOTE,custom_SMOTETomek,class_weight
LGBMClassifier,0.7845180999401692,0.7954244013170786,0.8095999135762845,0.8178667219571597
XGBClassifier,0.7973657290332999,0.814876086016898,0.8116316369368352,0.8273722903124967
SVC,0.803656299939555,0.8010902269641207,0.812909210559688,0.7844138662994435
Sequential,0.8178572752154408,0.816026232055867,0.813186644689279,0.81339467548052
KNeighborsClassifier,0.7402980328809028,0.7250568675851201,0.7297849450535634,
