,baseline,SMOTE,custom_SMOTETomek,class_weight
LGBMClassifier,0.4224961147819257,0.4828356533472066,0.4562679135851608,0.429422806525459
XGBClassifier,0.4306496994604308,0.4892382689024384,0.4636179465905421,0.4334453596379486
SVC,0.1060431398309269,,,
Sequential,0.2658737890649996,,,
KNeighborsClassifier,0.4039622291013861,,,
