,baseline,SMOTE,custom_SMOTETomek,class_weight
LGBMClassifier,0.9677377184232075,311.993382370472,456.1128559231758,0.8510610540707906
XGBClassifier,33.548358297348024,400.18441865841555,552.5049183964728,22.01285126606623
SVC,571.2710059046746,,,
Sequential,15.448084652423859,,,
KNeighborsClassifier,26.36693586508433,,,
